ID,FPS,LOOPTYPE,,,,,,,,,,,,,
Jump,10,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,,,,,,,,,,,
graphics/zeroJump.png,1,1,39,38,1,,,,,graphics/zeroJump.png,1,1,39,38,1
graphics/zeroJump.png,42,1,43,57,2,,,,,graphics/zeroJump.png,42,1,43,57,2
graphics/zeroJump.png,87,1,43,56,3,,,,,graphics/zeroJump.png,87,1,43,56,3
graphics/zeroJump.png,132,1,44,56,4,,,,,graphics/zeroJump.png,132,1,44,56,4
graphics/zeroJump.png,178,1,43,57,5,,,,,graphics/zeroJump.png,178,1,43,57,5
graphics/zeroJump.png,223,1,43,56,6,,,,,graphics/zeroJump.png,223,1,43,56,6
graphics/zeroJump.png,268,1,39,52,7,,,,,graphics/zeroJump.png,268,1,39,52,7
graphics/zeroJump.png,309,1,40,55,8,,,,,graphics/zeroJump.png,309,1,40,55,8
graphics/zeroJump.png,351,1,36,64,9,,,,,graphics/zeroJump.png,351,1,36,64,9
graphics/zeroJump.png,389,1,35,77,10,,,,,graphics/zeroJump.png,389,1,35,77,10
graphics/zeroJump.png,426,1,35,79,11,,,,,graphics/zeroJump.png,426,1,35,79,11
graphics/zeroJump.png,463,1,37,80,12,,,,,graphics/zeroJump.png,463,1,37,80,12
graphics/zeroJump.png,502,1,40,59,13,,,,,graphics/zeroJump.png,502,1,40,59,13
graphics/zeroJump.png,544,1,42,43,14,,,,,graphics/zeroJump.png,544,1,42,43,14
graphics/zeroJump.png,588,1,43,47,15,,,,,graphics/zeroJump.png,588,1,43,47,15
graphics/zeroJump.png,633,1,43,47,16,,,,,graphics/zeroJump.png,633,1,43,47,16
