ID,FPS,LOOPTYPE,,,,,,,,,,,
Loading,20,1,,,,,,,,,,,
,,,,,,,,,,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,,,,,,,,,
graphics/x4grenademan.png,14,9,54,48,,,graphics/x4grenademan.png,14,9,54,48,,µÎ¸®¹ø ½ÃÀÛ
graphics/x4grenademan.png,74,2,44,54,,,graphics/x4grenademan.png,74,2,44,54,,
graphics/x4grenademan.png,124,2,44,54,,,,124,2,44,54,,
graphics/x4grenademan.png,173,2,44,54,,,,173,2,44,54,,
graphics/x4grenademan.png,229,2,44,54,,,,229,2,44,54,,
graphics/x4grenademan.png,285,2,44,54,,,,285,2,44,54,,
graphics/x4grenademan.png,343,1,41,55,,,,343,1,41,55,,
graphics/x4grenademan.png,399,3,46,53,,,,399,3,46,53,,µÎ¸®¹ø ³¡
,,,,,,,,16,80,60,49,,Áß´ÜÃÑ½î±â
,,,,,,,,90,80,59,48,,Áß´ÜÃÑ½î±â
,,,,,,,,163,62,46,66,,»ó´ÜÃÑ½î±â
,,,,,,,,219,62,43,66,,»ó´ÜÃÑ½î±â
,,,,,,,,5,142,48,49,,¹«ºù½ÃÀÛ
,,,,,,,,69,140,41,51,,
,,,,,,,,120,137,50,54,,
,,,,,,,,182,143,45,48,,
,,,,,,,,254,131,46,60,,
,,,,,,,,317,131,48,60,,
,,,,,,,,384,132,46,59,,¹«ºù ³¡
,,,,,,,,10,209,44,54,,¼ö·ùÅº½ÃÀÛ
,,,,,,,,66,202,26,61,,
,,,,,,,,125,201,47,62,,
,,,,,,,,183,207,59,56,,
,,,,,,,,256,218,63,43,,
,,,,,,,,334,220,55,43,,
,,,,,,,,401,220,55,43,,¼ö·ùÅº ³¡
,,,,,,,,,,,,,
,,,,,,,,470,230,12,10,,¼ö·ùÅº
,,,,,,,,,,,,,
,,,,,,,,285,93,12,11,,ÃÑ¾Ë
,,,,,,,,300,93,12,11,,
,,,,,,,,315,93,12,11,,
,,,,,,,,330,93,12,11,,
