ID,FPS,LOOPTYPE,,,,
Shot,20,0,,,,
,,,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,,
graphics/x4grenademan.png,14,9,54,48,,0
graphics/x4grenademan.png,14,9,54,48,,1
graphics/x4grenademan.png,14,9,54,48,,2
graphics/x4grenademan.png,14,9,54,48,,3
graphics/x4grenademan.png,16,80,60,49,,4
graphics/x4grenademan.png,16,80,60,49,,5
graphics/x4grenademan.png,16,80,60,49,,6
graphics/x4grenademan.png,16,80,60,49,,7
graphics/x4grenademan.png,90,80,59,48,,8
graphics/x4grenademan.png,90,80,59,48,,9
graphics/x4grenademan.png,90,80,59,48,,10
graphics/x4grenademan.png,90,80,59,48,,11
graphics/x4grenademan.png,90,80,59,48,,12
graphics/x4grenademan.png,90,80,59,48,,13
