ID,FPS,LOOPTYPE,,,,,,,,,,,,,
Saber,40,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,,,,,,,,,,,
graphics/zeroSaber.png,1,1,39,46,,,,,,graphics/zeroSaber.png,1,1,39,46,1
graphics/zeroSaber.png,42,1,39,48,,,,,,graphics/zeroSaber.png,42,1,39,48,2
graphics/zeroSaber.png,83,1,49,47,,,,,,graphics/zeroSaber.png,83,1,49,47,3
graphics/zeroSaber.png,134,1,51,46,,,,,,graphics/zeroSaber.png,134,1,51,46,4
graphics/zeroSaber.png,187,1,50,48,,,,,,graphics/zeroSaber.png,187,1,50,48,5
graphics/zeroSaber.png,239,1,54,48,,,,,,graphics/zeroSaber.png,239,1,54,48,6
graphics/zeroSaber.png,295,1,47,49,,,,,,graphics/zeroSaber.png,295,1,47,49,7
graphics/zeroSaber.png,344,1,46,45,,,,,,graphics/zeroSaber.png,344,1,46,45,8
graphics/zeroSaber.png,392,1,46,45,,,,,,graphics/zeroSaber.png,392,1,46,45,9
graphics/zeroSaber.png,440,1,45,45,,,,,,graphics/zeroSaber.png,440,1,45,45,10
graphics/zeroSaber.png,487,1,45,45,,,,,,graphics/zeroSaber.png,487,1,45,45,11
graphics/zeroSaber.png,534,1,49,45,,,,,,graphics/zeroSaber.png,534,1,49,45,12
graphics/zeroSaber.png,585,1,47,46,,,,,,graphics/zeroSaber.png,585,1,47,46,13
graphics/zeroSaber.png,634,1,44,46,,,,,,graphics/zeroSaber.png,634,1,44,46,14
graphics/zeroSaber.png,680,1,41,46,,,,,,graphics/zeroSaber.png,680,1,41,46,15
graphics/zeroSaber.png,723,1,43,46,,,,,,graphics/zeroSaber.png,723,1,43,46,16
